"tract","Name","%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall"
42101035900,"Northeast Philadelphia, Philadelphia, PA",0.8032
42045401104,"Drexel Hill, Upper Darby, PA",0.8029
42101033600,"Northeast Philadelphia, Philadelphia, PA",0.8027
42101006600,"Elmwood, Philadelphia, PA",0.8025
34015500400,"Paulsboro, NJ",0.8023
42101023800,"Northwest Philadelphia, Philadelphia, PA",0.8005
42101027300,"North Philadelphia, Philadelphia, PA",0.8004
34007607600,"Gibbsboro, NJ",0.8002
42101024900,"East Germantown, Philadelphia, PA",0.8
42045403702,"Essington, Tinicum Township, PA",0.7999
42101011900,"Wynnefield, Philadelphia, PA",0.7995
42101036700,"North Philadelphia, Philadelphia, PA",0.7994
42045403701,"Essington, Tinicum Township, PA",0.7994
42045400402,"Upper Darby, PA",0.7991
42045403101,"Collingdale, PA",0.799
42101009300,"Haddington, Philadelphia, PA",0.7984
42101011400,"Overbrook, Philadelphia, PA",0.7983
42101008802,"West Philadelphia, Philadelphia, PA",0.798
42045402400,"Darby, PA",0.7978
42045407805,"Springfield, PA",0.7977
42101035702,"Bustleton, Philadelphia, PA",0.7948
42101031101,"Oxford Circle/ Castor, Philadelphia, PA",0.7945
34007604600,"Oaklyn, NJ",0.7941
42091204002,"Plymouth Meeting, PA",0.7936
42101017701,"North Philadelphia, Philadelphia, PA",0.7936
42101031300,"Oxford Circle/ Castor, Philadelphia, PA",0.7934
42045404300,"Eddystone, PA",0.7932
42101024100,"Germantown, Philadelphia, PA",0.793
42101013602,"Brewerytown, Philadelphia, PA",0.7927
34005700104,"Palmyra, NJ",0.7923
34007610800,"Pennsauken Township, NJ",0.7922
42101034502,"Bustleton, Philadelphia, PA",0.7921
42045400301,"Upper Darby, PA",0.7914
42045402500,"Darby, PA",0.7912
42101009801,"Overbrook, Philadelphia, PA",0.7908
34007610500,"Pennsauken Township, NJ",0.7907
42101006400,"Elmwood, Philadelphia, PA",0.7905
42101024000,"Germantown, Philadelphia, PA",0.7902
34005700405,"Maple Shade Township, NJ",0.7899
34007606700,"Barrington, NJ",0.7897
42101035100,"Northeast Philadelphia, Philadelphia, PA",0.7894
34007602901,"Pennsauken Township, NJ",0.7888
34007605602,"Audubon, NJ",0.7886
42101026000,"North Philadelphia, Philadelphia, PA",0.7885
42045402300,"Lansdowne, PA",0.7883
42101035800,"Northeast Philadelphia, Philadelphia, PA",0.7878
42101035601,"Bustleton, Philadelphia, PA",0.7877
42101000500,"Center City, Philadelphia, PA",0.7871
42101005500,"Eastwick, Philadelphia, PA",0.7871
42101028500,"North Philadelphia, Philadelphia, PA",0.787
42017100210,"Bensalem, PA",0.7867
34005701001,"Edgewater Park, NJ",0.7865
42101033400,"Northeast Philadelphia, Philadelphia, PA",0.786
42101028901,"Juniata Park/ Feltonville, Philadelphia, PA",0.7859
42091201606,"Roslyn, Abington, PA",0.7856
42101029000,"North Philadelphia, Philadelphia, PA",0.7843
42045409200,"Havertown, PA",0.7841
42101029100,"Lawncrest, Philadelphia, PA",0.7839
42091203304,"Norristown, PA",0.7836
34005700103,"Palmyra, NJ",0.7834
34007602601,"Pennsauken Township, NJ",0.7815
42101027100,"North Philadelphia, Philadelphia, PA",0.7812
42045400802,"Drexel Hill, Upper Darby, PA",0.781
42101020000,"North Philadelphia, Philadelphia, PA",0.7809
42017100304,"Levittown, PA",0.7805
42091202000,"Rockledge, PA",0.7801
34007607402,"Somerdale, NJ",0.7799
34007606500,"Lawnside, NJ",0.7795
42101035701,"Bustleton, Philadelphia, PA",0.779
42045401103,"Drexel Hill, Upper Darby, PA",0.7787
42101023900,"Northwest Philadelphia, Philadelphia, PA",0.778
42045400401,"Upper Darby, PA",0.7779
34005700307,"Cinnaminson, NJ",0.7773
42101034600,"Northeast Philadelphia, Philadelphia, PA",0.777
42017100206,"Bensalem, PA",0.7762
42045407804,"Springfield, PA",0.776
42101009802,"Overbrook, Philadelphia, PA",0.7757
42091201604,"Roslyn, Abington, PA",0.7755
42045402100,"Lansdowne, PA",0.7752
42017101401,"Feasterville-Trevose, PA",0.7749
42045402000,"Lansdowne, PA",0.7746
42045401900,"Lansdowne, PA",0.774
42045401502,"Clifton Heights, PA",0.7731
34007603700,"Erlton-Ellisburg, Cherry Hill, NJ",0.7731
34005700703,"Riverside, NJ",0.773
42091201603,"Willow Grove, PA",0.7721
42101012000,"West Philadelphia, Philadelphia, PA",0.7719
34007607401,"Somerdale, NJ",0.7712
42091201703,"Glenside, PA",0.771
42045401302,"Drexel Hill, Upper Darby, PA",0.7708
42045410602,"Folsom, PA",0.7708
34007603001,"Merchantville, NJ",0.7708
42045404003,"Clifton Heights, PA",0.7707
42101034501,"Northeast Philadelphia, Philadelphia, PA",0.7705
42017100209,"Bensalem, PA",0.7703
42101027200,"North Philadelphia, Philadelphia, PA",0.7699
34005704004,"Marlton, Evesham Township, NJ",0.7699
34007604200,"Collingswood, NJ",0.7699
42017100207,"Bensalem, PA",0.7696
42045401600,"Lansdowne, PA",0.7687
42101034400,"Bustleton, Philadelphia, PA",0.768
34005700800,"Delanco, NJ",0.7678
42101033702,"Northeast Philadelphia, Philadelphia, PA",0.7674
34007603902,"Haddon Township, NJ",0.7668
42045403901,"Ridley Park, PA",0.7667
42101005400,"Eastwick, Philadelphia, PA",0.7667
34015500205,"Thorofare, West Deptford, NJ",0.766
42091201706,"Glenside, PA",0.766
34007603200,"Cherry Hill, NJ",0.7657
34007605800,"Haddon Heights, NJ",0.7635
42045409500,"Drexel Hill, Havertown, PA",0.7633
42101027000,"North Philadelphia, Philadelphia, PA",0.7631
34005700305,"Cinnaminson, NJ",0.7631
34005704007,"Marlton, Evesham Township, NJ",0.7626
34007604300,"Collingswood, NJ",0.7621
34007605700,"Audubon, NJ",0.7612
42045407803,"Springfield, PA",0.7609
42045409100,"Havertown, PA",0.7608
42101001700,"Queen Village, Philadelphia, PA",0.7597
34007608205,"Somerdale, NJ",0.7595
42091204010,"Plymouth Meeting, PA",0.7587
42101012100,"Wynnefield, Philadelphia, PA",0.7585
42101007900,"Cedar Park, Philadelphia, PA",0.7572
42101006300,"Southwest Philadelphia, Philadelphia, PA",0.7569
42045407700,"Morton, PA",0.7555
42045410500,"Upper Darby, PA",0.7554
42091203104,"Lafayette Hill, PA",0.7549
42091204007,"Conshohocken, PA",0.7539
34005702807,"Willingboro, NJ",0.7539
42091201607,"Abington, PA",0.7531
34007611600,"Collingswood, NJ",0.753
42045409300,"Havertown, PA",0.7518
42101025400,"East Mount Airy, Philadelphia, PA",0.7517
42091203303,"East Norriton, PA",0.7506
42101007800,"West Philadelphia, Philadelphia, PA",0.7477
42091210100,"Oreland, PA",0.7475
34007603800,"Haddon Township, NJ",0.7473
34007604400,"Collingswood, NJ",0.7463
42045408800,"Ardmore, PA",0.7461
42091203106,"Conshohocken, PA",0.7461
42045407802,"Springfield, PA",0.7451
