tract,Name,%_Staying_in_Same_Commuting_Zone_as_Adults_rP_gP_pall,Individual Income,,,,
24510110100,"Downtown, Baltimore, MD",0.6657,19623,,,, Baltimore
24510220100,"Baltimore, MD",0.6652,,,,,#VALUE!
24510272003,"Baltimore, MD",0.6606,,,,,#VALUE!
24510040100,"Downtown, Baltimore, MD",0.6568,27593,,,, Baltimore
24005400200,"Catonsville, MD",0.6549,,,,,#VALUE!
24005491300,"Baltimore, MD",0.6533,,,,,#VALUE!
24005400400,"Catonsville, MD",0.6458,,,,,#VALUE!
24510010400,"Canton, Baltimore, MD",0.6208,29977,,,, Baltimore
24510272006,"Glen, Baltimore, MD",0.6158,27663,,,, Baltimore
24510271503,"Cross Keys, Baltimore, MD",0.609,35185,,,, Baltimore
24510272004,"Cheswolde, Baltimore, MD",0.5844,32277,,,, Baltimore
24510020300,"Fells Point, Baltimore, MD",0.5665,39150,,,, Baltimore
24005491000,"Baltimore, MD",0.5643,,,,,#VALUE!
24005403500,"Pikesville, MD",0.5593,,,,,#VALUE!
24005403601,"Baltimore, MD",0.5483,,,,,#VALUE!
24510272005,"Cross Country, Baltimore, MD",0.5465,30136,,,, Baltimore
24005403602,"Baltimore, MD",0.5363,,,,,#VALUE!
24005490500,"Towson, MD",0.5316,,,,,#VALUE!
24005490603,"Baltimore, MD",0.5238,,,,,#VALUE!
24510271200,"Homeland, Baltimore, MD",0.5166,42081,,,, Baltimore
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.4714,43386,,,, Baltimore
24510271400,"Evergreen, Baltimore, MD",0.4342,43522,,,, Baltimore
24510271300,"Roland Park, Baltimore, MD",0.4153,42781,,,, Baltimore
24510271501,"Mount Washington, Baltimore, MD",0.4112,46558,,,, Baltimore
24005490601,"Baltimore, MD",0.4111,,,,,#VALUE!
24510120202,"Baltimore, MD",0.3922,,,,,#VALUE!
24510271102,"Mid-Charles, Baltimore, MD",0.3759,37888,,,, Baltimore
24005980000,"Edgemere, MD",,,,,,#VALUE!
24005980100,"Lansdowne - Baltimore Highlands, Baltimore, MD",,#N/A,,,, Baltimore
24005492500,"Baltimore, MD",,,,,,#VALUE!
24005980200,"Lansdowne - Baltimore Highlands, Halethorpe, MD",,,,,, Halethorpe
24510100300,"Penn - Fallsway, Baltimore, MD",,0,,,, Baltimore
